Total number of words: 2960482
Total number of distinct words: 68360
Popular treshold: 3418
Lower common treshold: 32471
Upper common treshold: 35889
Rare treshold: 64942

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
+---------------+---------+----+
|            the|   158409|   1|
|            and|    95205|   2|
|             of|    93571|   3|
|             to|    75152|   4|
|              a|    60901|   5|
|             in|    50854|   6|
|              i|    46981|   7|
|           that|    37145|   8|
|             he|    30364|   9|
|             it|    29312|  10|
|            you|    27210|  11|
|             is|    26958|  12|
|            his|    26719|  13|
|           with|    24706|  14|
|            was|    24056|  15|
|            for|    23038|  16|
|             be|    22252|  17|
|             as|    21807|  18|
|            not|    21746|  19|
|             my|    20670|  20|
|            but|    18381|  21|
|           this|    16787|  22|
|           have|    15989|  23|
|             on|    14900|  24|
|             me|    14863|  25|
|             by|    14828|  26|
|            her|    14221|  27|
|             at|    14075|  28|
|            him|    14054|  29|
|            all|    13533|  30|
|          which|    13128|  31|
|            had|    12889|  32|
|             or|    12360|  33|
|             so|    11974|  34|
|           from|    11269|  35|
|           they|    11130|  36|
|           will|    11123|  37|
|            are|    10846|  38|
|             we|    10275|  39|
|             no|    10233|  40|
|           your|     9980|  41|
|           what|     9960|  42|
|            she|     9948|  43|
|            one|     9380|  44|
|             if|     9224|  45|
|          would|     8914|  46|
|          their|     8574|  47|
|          there|     8427|  48|
|           were|     8203|  49|
|             an|     8013|  50|
|           when|     7772|  51|
|           them|     7662|  52|
|             do|     7569|  53|
|           more|     7047|  54|
|            now|     6923|  55|
|           then|     6761|  56|
|           said|     6459|  57|
|            who|     6400|  58|
|           thou|     6341|  59|
|            our|     6296|  60|
|            out|     5864|  61|
|           good|     5615|  62|
|           than|     5510|  63|
|           been|     5421|  64|
|           like|     5401|  65|
|            man|     5354|  66|
|            may|     5201|  67|
|          shall|     5173|  68|
|             up|     5026|  69|
|           upon|     5019|  70|
|           some|     5015|  71|
|           well|     4826|  72|
|            any|     4721|  73|
|            thy|     4616|  74|
|          other|     4559|  75|
|            how|     4528|  76|
|            sir|     4479|  77|
|           time|     4472|  78|
|           must|     4417|  79|
|           lord|     4308|  80|
|           such|     4296|  81|
|             us|     4253|  82|
|         should|     4223|  83|
|           come|     4219|  84|
|            did|     4218|  85|
|           into|     4200|  86|
|          could|     4153|  87|
|            has|     4077|  88|
|           here|     4023|  89|
|           very|     3974|  90|
|            see|     3953|  91|
|            can|     3940|  92|
|          these|     3921|  93|
|          first|     3783|  94|
|             am|     3728|  95|
|          great|     3680|  96|
|            say|     3672|  97|
|           thee|     3669|  98|
|           only|     3629|  99|
|           know|     3618| 100|
|            its|     3565| 101|
|           most|     3552| 102|
|            yet|     3509| 103|
|            let|     3487| 104|
|            too|     3440| 105|
|             mr|     3437| 106|
|          about|     3431| 107|
|         little|     3421| 108|
|           king|     3408| 109|
|            two|     3348| 110|
|             go|     3337| 111|
|           make|     3328| 112|
|           much|     3300| 113|
|         before|     3271| 114|
|          never|     3248| 115|
|          where|     3234| 116|
|           love|     3209| 117|
|           made|     3177| 118|
|            old|     3143| 119|
|            own|     3072| 120|
|          those|     2954| 121|
|           life|     2947| 122|
|           down|     2937| 123|
|            men|     2895| 124|
|              o|     2893| 125|
|          after|     2788| 126|
|          might|     2608| 127|
|           over|     2591| 128|
|          think|     2588| 129|
|          again|     2585| 130|
|            way|     2564| 131|
|           take|     2548| 132|
|          still|     2538| 133|
|            day|     2527| 134|
|           long|     2503| 135|
|            why|     2498| 136|
|           even|     2486| 137|
|           give|     2484| 138|
|           hand|     2483| 139|
|          enter|     2331| 140|
|         though|     2326| 141|
|          state|     2306| 142|
|          every|     2303| 143|
|           many|     2288| 144|
|          being|     2230| 145|
|           eyes|     2209| 146|
|           away|     2206| 147|
|           work|     2183| 148|
|           tell|     2141| 149|
|        himself|     2140| 150|
|        against|     2091| 151|
|            nor|     2088| 152|
|           hath|     2083| 153|
|        another|     2081| 154|
|           ever|     2081| 155|
|           same|     2078| 156|
|           look|     2023| 157|
|        without|     2016| 158|
|           true|     1996| 159|
|        nothing|     1963| 160|
|          under|     1940| 161|
|           last|     1931| 162|
|           came|     1930| 163|
|           both|     1921| 164|
|           back|     1920| 165|
|          house|     1914| 166|
|        through|     1896| 167|
|        thought|     1892| 168|
|          heart|     1886| 169|
|            off|     1879| 170|
|         father|     1864| 171|
|           head|     1856| 172|
|          world|     1829| 173|
|           just|     1826| 174|
|          night|     1770| 175|
|          place|     1736| 176|
|           part|     1732| 177|
|         people|     1722| 178|
|         cannot|     1717| 179|
|          right|     1700| 180|
|           once|     1677| 181|
|          while|     1677| 182|
|          three|     1676| 183|
|           name|     1675| 184|
|          speak|     1669| 185|
|            new|     1667| 186|
|          years|     1650| 187|
|            far|     1621| 188|
|           face|     1614| 189|
