Total number of words: 2973399
Total number of distinct words: 52488
Popular treshold: 2625
Lower common treshold: 24931
Upper common treshold: 27557
Rare treshold: 49863

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
+---------------+---------+----+
|            the|   187872|   1|
|            and|   129697|   2|
|             of|   103063|   3|
|             to|    76734|   4|
|              a|    55500|   5|
|             in|    49797|   6|
|              i|    44101|   7|
|           that|    39724|   8|
|             he|    34727|   9|
|            was|    33827|  10|
|             it|    33259|  11|
|            for|    27921|  12|
|            his|    27281|  13|
|           with|    23492|  14|
|             is|    23100|  15|
|             as|    21182|  16|
|            not|    20795|  17|
|            her|    20621|  18|
|             be|    19939|  19|
|            but|    18926|  20|
|           they|    18460|  21|
|            had|    17989|  22|
|            you|    17309|  23|
|            him|    16336|  24|
|            she|    16177|  25|
|             my|    15795|  26|
|            all|    15235|  27|
|             by|    14519|  28|
|          which|    14497|  29|
|             on|    14218|  30|
|             at|    14211|  31|
|             me|    14211|  32|
|           them|    13751|  33|
|           have|    13241|  34|
|           this|    12938|  35|
|             or|    12152|  36|
|           from|    12102|  37|
|          shall|    11876|  38|
|           said|    11710|  39|
|          their|    10794|  40|
|             so|    10743|  41|
|           were|    10454|  42|
|            one|    10321|  43|
|           when|     9828|  44|
|            are|     9826|  45|
|          there|     9390|  46|
|             no|     8783|  47|
|           unto|     8724|  48|
|             we|     8630|  49|
|             up|     8422|  50|
|            out|     8379|  51|
|             if|     8325|  52|
|           lord|     8178|  53|
|           then|     7881|  54|
|           will|     7877|  55|
|             an|     7268|  56|
|          would|     6538|  57|
|            man|     6481|  58|
|           what|     6481|  59|
|            who|     6386|  60|
|             do|     6189|  61|
|            any|     6052|  62|
|           into|     5796|  63|
|           upon|     5765|  64|
|           thou|     5668|  65|
|            god|     5552|  66|
|           been|     5151|  67|
|          about|     5046|  68|
|            did|     5037|  69|
|           your|     5029|  70|
|           time|     4883|  71|
|            thy|     4732|  72|
|          other|     4726|  73|
|           more|     4683|  74|
|            now|     4679|  75|
|           made|     4674|  76|
|         before|     4656|  77|
|           came|     4650|  78|
|          could|     4620|  79|
|            men|     4483|  80|
|           come|     4354|  81|
|          after|     4287|  82|
|         people|     4249|  83|
|           some|     4219|  84|
|           went|     4168|  85|
|           down|     4083|  86|
|             go|     4041|  87|
|           thee|     4001|  88|
|           like|     3923|  89|
|           over|     3921|  90|
|         little|     3863|  91|
|            may|     3824|  92|
|            see|     3814|  93|
|            our|     3800|  94|
|           than|     3783|  95|
|            two|     3743|  96|
|           very|     3736|  97|
|          house|     3720|  98|
|            day|     3655|  99|
|             ye|     3624| 100|
|          these|     3546| 101|
|          great|     3538| 102|
|             us|     3533| 103|
|           good|     3458| 104|
|         should|     3395| 105|
|          again|     3299| 106|
|           such|     3297| 107|
|           know|     3273| 108|
|           king|     3237| 109|
|          every|     3228| 110|
|           make|     3181| 111|
|           well|     3168| 112|
|            say|     3155| 113|
|            let|     3136| 114|
|           also|     3125| 115|
|           only|     3091| 116|
|           much|     3079| 117|
|            its|     3068| 118|
|             mr|     3061| 119|
|        against|     3056| 120|
|           hand|     3022| 121|
|          never|     3009| 122|
|            how|     2998| 123|
|        because|     2977| 124|
|          first|     2947| 125|
|            can|     2916| 126|
|            way|     2903| 127|
|          where|     2895| 128|
|           away|     2882| 129|
|            has|     2829| 130|
|            own|     2796| 131|
|            son|     2788| 132|
|          those|     2730| 133|
|           hath|     2729| 134|
|           many|     2728| 135|
|           even|     2696| 136|
|       children|     2679| 137|
|            old|     2664| 138|
|         israel|     2649| 139|
|        without|     2597| 140|
|           work|     2588| 141|
|            put|     2582| 142|
|            got|     2507| 143|
|           take|     2507| 144|
|           give|     2498| 145|
|        project|     2491| 146|
|          being|     2490| 147|
|         things|     2450| 148|
