Total number of words: 2103361
Total number of distinct words: 43654
Popular treshold: 2183
Lower common treshold: 20735
Upper common treshold: 22919
Rare treshold: 41471

Popular words
+--------------+---------+----+
|          Word|Frequency|Rank|
+--------------+---------+----+
|           the|    85369|   1|
|           and|    70926|   2|
|            to|    57137|   3|
|            of|    52978|   4|
|             i|    43869|   5|
|             a|    38061|   6|
|            in|    30758|   7|
|          that|    28857|   8|
|           you|    25002|   9|
|            it|    23353|  10|
|            he|    21900|  11|
|            my|    21008|  12|
|           his|    19380|  13|
|           for|    19168|  14|
|           not|    18949|  15|
|          with|    18763|  16|
|            is|    18640|  17|
|            as|    17206|  18|
|            be|    17038|  19|
|           her|    16127|  20|
|           was|    15352|  21|
|            me|    15168|  22|
|          have|    13478|  23|
|           him|    13449|  24|
|           but|    13373|  25|
|          this|    13056|  26|
|            so|    10971|  27|
|           she|    10827|  28|
|            on|    10263|  29|
|          your|    10180|  30|
|           all|    10084|  31|
|           had|    10021|  32|
|            at|     9989|  33|
|            by|     9960|  34|
|          what|     8777|  35|
|          will|     8657|  36|
|            if|     8111|  37|
|            or|     8106|  38|
|            no|     8035|  39|
|          they|     7570|  40|
|          from|     7463|  41|
|           are|     7177|  42|
|         which|     7110|  43|
|          thou|     7075|  44|
|            do|     6847|  45|
|            we|     6442|  46|
|         would|     6376|  47|
|          said|     5932|  48|
|          them|     5808|  49|
|           one|     5680|  50|
|          when|     5667|  51|
|          were|     5503|  52|
|         there|     5415|  53|
|          more|     5320|  54|
|           now|     5179|  55|
|         shall|     5052|  56|
|           who|     4980|  57|
|           thy|     4913|  58|
|         their|     4879|  59|
|          good|     4754|  60|
|            an|     4675|  61|
|        should|     4501|  62|
|           our|     4495|  63|
|          then|     4473|  64|
|          than|     4403|  65|
|          come|     4278|  66|
|           out|     4153|  67|
|          thee|     4146|  68|
|          well|     4139|  69|
|            am|     4095|  70|
|           how|     4034|  71|
|          been|     3994|  72|
|          very|     3853|  73|
|           may|     3780|  74|
|          such|     3772|  75|
|           any|     3728|  76|
|         could|     3724|  77|
|           say|     3642|  78|
|          know|     3630|  79|
|           did|     3627|  80|
|           man|     3618|  81|
|          must|     3607|  82|
|          some|     3573|  83|
|          upon|     3557|  84|
|          here|     3438|  85|
|            up|     3406|  86|
|           sir|     3372|  87|
|          like|     3366|  88|
|          lord|     3342|  89|
|           see|     3340|  90|
|           let|     3310|  91|
|          king|     3235|  92|
|            us|     3170|  93|
|          love|     3117|  94|
|          make|     3074|  95|
|            go|     3071|  96|
|          time|     3029|  97|
|           don|     2998|  98|
|           can|     2927|  99|
|          much|     2825| 100|
|         never|     2634| 101|
|             o|     2618| 102|
|         other|     2616| 103|
|           has|     2604| 104|
|          give|     2576| 105|
|         these|     2575| 106|
|          into|     2544| 107|
|         where|     2530| 108|
|        before|     2508| 109|
|          made|     2501| 110|
|         first|     2458| 111|
|           too|     2430| 112|
|         great|     2426| 113|
|          take|     2389| 114|
|           own|     2377| 115|
|           yet|     2346| 116|
|            mr|     2337| 117|
|         being|     2297| 118|
|         enter|     2295| 119|
|          most|     2251| 120|
|         think|     2242| 121|
|         about|     2228| 122|
|       quixote|     2183| 123|
|        sancho|     2114| 124|
|           two|     2103| 125|
|          tell|     2090| 126|
|          hath|     2084| 127|
|        little|     2068| 128|
|       himself|     2018| 129|
|        though|     2014| 130|
|           why|     1996| 131|
|         again|     1957| 132|
|         might|     1956| 133|
|       without|     1931| 134|
|          only|     1895| 135|
|           way|     1887| 136|
|          down|     1828| 137|
|           nor|     1818| 138|
|         every|     1798| 139|
|          hand|     1797| 140|
|          away|     1795| 141|
|         heart|     1786| 142|
|         those|     1785| 143|
|       nothing|     1783| 144|
|         after|     1735| 145|
|          life|     1731| 146|
|           mrs|     1716| 147|
|           day|     1710| 148|
|          lady|     1684| 149|
|          mine|     1663| 150|
|          eyes|     1630| 151|
|         speak|     1613| 152|
|        master|     1601| 153|
|          look|     1593| 154|
|          ever|     1579| 155|
|          even|     1569| 156|
|          done|     1540| 157|
|        myself|     1519| 158|
|          came|     1511| 159|
|          many|     1496| 160|
|        father|     1479| 161|
|        cannot|     1470| 162|
|           old|     1467| 163|
|         house|     1440| 164|
|           men|     1440| 165|
|          over|     1436| 166|
|           god|     1427| 167|
|         still|     1422| 168|
|           off|     1411| 169|
|          long|     1383| 170|
|          hear|     1377| 171|
|         world|     1372| 172|
|           its|     1370| 173|
|         thing|     1366| 174|
|       another|     1362| 175|
|        better|     1359| 176|
|       thought|     1349| 177|
|          miss|     1333| 178|
|          both|     1331| 179|
|           put|     1326| 180|
|          duke|     1322| 181|
|          name|     1319| 182|
|         night|     1313| 183|
|           art|     1295| 184|
|          true|     1288| 185|
|          head|     1285| 186|
|          once|     1280| 187|
|           saw|     1280| 188|
|          same|     1269| 189|
|         while|     1242| 190|
|         death|     1235| 191|
|         place|     1226| 192|
