Total number of words: 12036636
Total number of distinct words: 279363
Popular treshold: 13969
Lower common treshold: 132697
Upper common treshold: 146666
Rare treshold: 265394

Popular words
+--------------------+---------+-----+
|                Word|Frequency| Rank|
+--------------------+---------+-----+
|                 the|   818906|    1|
|                  of|   487434|    2|
|                 and|   326203|    3|
|                  in|   287932|    4|
|                  to|   247463|    5|
|                   a|   245414|    6|
|                  is|   146320|    7|
|                  as|   102569|    8|
|                 for|    92753|    9|
|                  by|    88673|   10|
|                that|    85155|   11|
|                 was|    83393|   12|
|                with|    75079|   13|
|                  on|    69355|   14|
|                 are|    61683|   15|
|                  it|    59707|   16|
|                from|    57051|   17|
|                  or|    54785|   18|
|                http|    50149|   19|
|                  be|    49309|   20|
|                  an|    47862|   21|
|                this|    46284|   22|
|                 his|    45068|   23|
|               which|    42746|   24|
|                  at|    41936|   25|
|                  he|    40723|   26|
|                   s|    38861|   27|
|                 not|    35083|   28|
|                have|    31556|   29|
|                also|    31525|   30|
|                were|    29713|   31|
|                 has|    29693|   32|
|                 but|    27579|   33|
|                 one|    27089|   34|
|            category|    26731|   35|
|               other|    24686|   36|
|               their|    24679|   37|
|                 its|    23889|   38|
|                they|    22304|   39|
|                some|    22028|   40|
|               first|    21544|   41|
|                 had|    20920|   42|
|                 can|    20704|   43|
|                more|    20645|   44|
|                most|    19787|   45|
|                been|    19738|   46|
|                 all|    19486|   47|
|                such|    19469|   48|
|                 new|    19008|   49|
|                many|    18533|   50|
|                 who|    18263|   51|
|                used|    18127|   52|
|               there|    17566|   53|
|               image|    16765|   54|
|                 two|    15959|   55|
|                when|    15907|   56|
|                into|    15766|   57|
|               after|    15716|   58|
|               these|    15700|   59|
|              united|    15542|   60|
|                 may|    15221|   61|
|                only|    15151|   62|
|                than|    14901|   63|
|                  de|    14868|   64|
|                time|    14654|   65|
|                  no|    14057|   66|
|               would|    13215|   67|
|                   i|    13213|   68|
|              states|    12811|   69|
|               world|    12731|   70|
|            american|    12727|   71|
|            preserve|    12613|   72|
|                 xml|    12501|   73|
|             however|    12357|   74|
|             between|    12353|   75|
|               about|    12239|   76|
|                html|    11934|   77|
|                  if|    11670|   78|
|                 see|    11405|   79|
|                over|    11392|   80|
|                 use|    11160|   81|
|                nbsp|    10965|   82|
|               years|    10934|   83|
|              during|    10841|   84|
|              system|    10592|   85|
|                 war|    10525|   86|
|               known|    10307|   87|
|              called|    10305|   88|
|               often|    10186|   89|
|                will|    10169|   90|
|              people|    10039|   91|
|              number|     9788|   92|
|               state|     9716|   93|
|               while|     9552|   94|
|             history|     9536|   95|
|               where|     9534|   96|
|                 any|     9429|   97|
|                  so|     9217|   98|
|               being|     9172|   99|
|                both|     9169|  100|
|                name|     9157|  101|
|                then|     8978|  102|
|                list|     8941|  103|
|                them|     8885|  104|
|               under|     8839|  105|
|                  up|     8803|  106|
|                 out|     8650|  107|
|          university|     8645|  108|
|                made|     8638|  109|
|                city|     8571|  110|
|             english|     8456|  111|
|               since|     8328|  112|
|             through|     8089|  113|
|                part|     8066|  114|
|               later|     8036|  115|
|             because|     7984|  116|
|             century|     7978|  117|
|             british|     7905|  118|
|               ndash|     7882|  119|
|                   b|     7797|  120|
|          government|     7778|  121|
|                each|     7745|  122|
|                 him|     7724|  123|
|            national|     7690|  124|
|             example|     7659|  125|
|                   d|     7619|  126|
|                same|     7579|  127|
|                well|     7494|  128|
|           including|     7423|  129|
|                even|     7397|  130|
|            language|     7338|  131|
|               early|     7331|  132|
|                 htm|     7294|  133|
|                year|     7275|  134|
|                 her|     7237|  135|
|                   e|     7112|  136|
|               three|     7106|  137|
|            although|     7105|  138|
|             several|     7053|  139|
|                form|     7044|  140|
|              became|     7032|  141|
|                film|     6979|  142|
|                work|     6928|  143|
|                like|     6894|  144|
|                much|     6875|  145|
|                very|     6827|  146|
|              before|     6800|  147|
|                game|     6794|  148|
|                book|     6732|  149|
|               those|     6538|  150|
|             general|     6532|  151|
|                  do|     6435|  152|
|             against|     6434|  153|
|               could|     6392|  154|
|                   u|     6330|  155|
|                what|     6298|  156|
|       international|     6284|  157|
|                 now|     6245|  158|
|                life|     6226|  159|
|              series|     6223|  160|
|              common|     6207|  161|
|           different|     6191|  162|
|             another|     6159|  163|
|                john|     6152|  164|
|                   c|     6100|  165|
|               great|     6067|  166|
|               music|     6044|  167|
|               large|     6000|  168|
|              french|     5994|  169|
|               mdash|     5955|  170|
|                 set|     5868|  171|
|              modern|     5849|  172|
|            computer|     5824|  173|
|               south|     5819|  174|
|               group|     5808|  175|
|                 end|     5783|  176|
|              second|     5755|  177|
|               still|     5690|  178|
|               power|     5631|  179|
|               until|     5588|  180|
|             usually|     5584|  181|
|                  ii|     5560|  182|
|               found|     5521|  183|
|                 law|     5483|  184|
|                  we|     5438|  185|
|               major|     5422|  186|
|                 day|     5411|  187|
|               north|     5399|  188|
|              church|     5397|  189|
|                last|     5380|  190|
|               party|     5372|  191|
|               using|     5369|  192|
|                term|     5337|  193|
|                 own|     5330|  194|
|                high|     5301|  195|
|                  fr|     5226|  196|
|               order|     5199|  197|
|                area|     5183|  198|
|             include|     5161|  199|
|              german|     5140|  200|
|             country|     5071|  201|
|           political|     5059|  202|
|                 you|     5055|  203|
|              theory|     5049|  204|
|                  es|     5038|  205|
|               human|     5036|  206|
|               based|     5004|  207|
|              around|     4992|  208|
|          population|     4985|  209|
|              though|     4981|  210|
|               small|     4968|  211|
|               death|     4964|  212|
|         information|     4931|  213|
|              within|     4907|  214|
|                 she|     4886|  215|
|           following|     4874|  216|
|                 way|     4805|  217|
|               among|     4778|  218|
|                 did|     4773|  219|
|                 due|     4772|  220|
|                isbn|     4760|  221|
|           president|     4746|  222|
|             article|     4741|  223|
|                   m|     4711|  224|
|              public|     4711|  225|
|          considered|     4678|  226|
|            military|     4669|  227|
|               point|     4664|  228|
|                long|     4637|  229|
|               roman|     4622|  230|
|                 god|     4621|  231|
|                king|     4612|  232|
|           important|     4586|  233|
|           sometimes|     4571|  234|
