Total number of words: 25253437
Total number of distinct words: 441530
Popular treshold: 22077
Lower common treshold: 209726
Upper common treshold: 231804
Rare treshold: 419453

Popular words
+--------------------+---------+-----+
|                Word|Frequency| Rank|
+--------------------+---------+-----+
|                 the|  1716061|    1|
|                  of|  1008975|    2|
|                 and|   681707|    3|
|                  in|   605693|    4|
|                  to|   517156|    5|
|                   a|   515025|    6|
|                  is|   297488|    7|
|                  as|   212137|    8|
|                 for|   195300|    9|
|                  by|   184310|   10|
|                 was|   179602|   11|
|                that|   176950|   12|
|                with|   157546|   13|
|                  on|   148341|   14|
|                 are|   124551|   15|
|                  it|   123825|   16|
|                from|   118833|   17|
|                  or|   109458|   18|
|                http|   104356|   19|
|                  be|   101012|   20|
|                  an|    97801|   21|
|                this|    94848|   22|
|                 his|    94569|   23|
|                  at|    87962|   24|
|               which|    87791|   25|
|                  he|    85857|   26|
|                   s|    79603|   27|
|                 not|    72406|   28|
|                also|    66195|   29|
|                have|    64980|   30|
|                were|    63004|   31|
|                 has|    62317|   32|
|                 but|    57220|   33|
|            category|    56666|   34|
|                 one|    56121|   35|
|               their|    52255|   36|
|               other|    50929|   37|
|                 its|    49950|   38|
|                they|    46352|   39|
|               first|    46150|   40|
|                 had|    44893|   41|
|                some|    44888|   42|
|                 new|    43780|   43|
|                more|    42374|   44|
|                been|    41473|   45|
|                 can|    41347|   46|
|                most|    41112|   47|
|                 all|    40546|   48|
|                such|    39493|   49|
|                 who|    38862|   50|
|                many|    38478|   51|
|              united|    36511|   52|
|                used|    36488|   53|
|               image|    36173|   54|
|               there|    35709|   55|
|               after|    34081|   56|
|                into|    33166|   57|
|                when|    32938|   58|
|                 two|    32866|   59|
|               these|    32021|   60|
|                  de|    31770|   61|
|                only|    31657|   62|
|                 may|    31496|   63|
|                time|    31242|   64|
|                than|    30764|   65|
|              states|    30583|   66|
|                  no|    29743|   67|
|            american|    29516|   68|
|               would|    28434|   69|
|               world|    26881|   70|
